Note: Intersecton number is replaced by a dash "-" 

Genus: 2
Length: 10
Number of data: 300

Dilitation,isPseudoAnosov,Intersection_Number,Word
6.181509152612289,true,-,Z1y0y1Y0Y1z1Z0y1y0Y1
6.652338775960582,true,-,y1z1Z0Y0Y0z0y1Z1z1y1Y1
0.0,false,-,Y0Z0y0y0y0z0Y1Y0Y0Z0
8.784717915287937,true,-,Y1z0Z0y1z1y0Y0z1z1Z1Z0
6.424549775051786,true,-,z0z1y1Y0Y1Y1Z0Y0Y0Y1Z0
6.864163001624271,true,-,z1z0Y1Y0z0Z0Z1Z1z1Z1Y1
6.799635792844863,true,-,Z1z0z0y0y1Z1Y0Z0Y1y0z0
5.5636174504473335,true,-,z0Z1y1y1Y0y0Z0Y1Z0Y1Y1
7.275724152609929,true,-,Y1Y0Y1Y0z1Z0z0y1z1z1y1
6.289013127978076,true,-,Z1Y0z0Y1y1Y0Z0Z1Y0Y0
6.6585235313420155,true,-,Z1Y0y1Z0y1z0y1Y0Z1Z0Y1
7.657080708811459,true,-,Z0y0y0y0Y0Z1Z0Z0Z1Y0Y1
4.693167933213384,true,-,Z1y0Z0Y1y0z0Z1y1Z0y1
6.498135115936946,true,-,Z1Y1z0z0z0z1z0Y1y1y0y1
6.393701765395658,true,-,Y1z1Y1Z0Y1z1Z0y1Z0y0y1
8.47433183857069,true,-,Z1Y1Y0z1y0Y1Z0Z1Y0Z1Z0
6.259259995701219,true,-,Z1Z1Y0z0Y0Y0z1y0z0z0
3.253086797220143,true,-,Y1y1y1y1Y1Z1Y1Y0Z0z0Y0
6.1396368365927625,true,-,Z0y1z1Y0Z0Y1Z0Y1Z1Y0Z0
0.0,false,-,y0y1y0z0y1Y1Y1y1Y0y0Y0
7.846000168000011,true,-,y1Z1Z1Z0Z1Y0Y0Y1z1y1
6.315007612873476,true,-,Z0z1Y1y0y1y1y1Z1y0z1
7.401878098997719,true,-,y1Z1Y1Z1Z0y0y0z1y0y1
8.951199192878516,true,-,Y0z1y0Z1z0z0Y0z1Z0z1
5.217455493982695,true,-,Z0y1Y0Z0z0Z1z1Z0Z1Y1
4.304523985538341,true,-,Z0Y1Y0z0z0Y0Z1Y1Z1Y1
7.834347211582656,true,-,Z1Y1y1y1y0Z0z1Y0z1z0z1
7.2843944182806295,true,-,y1y0y1Z0y1Z1y0z1y1Z1y0
8.717097575371561,true,-,Y0z1z1Z1Y1z1Y0Z1z1z0
5.897614541973275,true,-,y1Y0z1Y1y0z1z0Y0z0Y1
6.602342016527412,true,-,z1Z1Y1Y0y1y0Y1z0z1z1Z1
5.334728791808547,true,-,Y1Y0y0y0Z1Y1Z1y0Y0z0z1
5.564837234313261,true,-,Z0z0z0z0y0Y0Y0z0z0Z0Z1
7.664325846231877,true,-,y0Y1Y1Z0z0Y1Y1Z0y0z1
8.065047779795654,true,-,Y1Z0z0z1Z0Z1Y0Y1z0y1Y1
5.332114684615556,true,-,Z1y1Z0z0y0Y1z1Y1Y0Y1y0
0.0,false,-,z1z1Z0z1y1z1y1z1z1y1
6.079238880510617,true,-,Y0Z0z0z1Y1y1Y1Y0y0Z1Y0
6.464427892001877,true,-,Y0y0Z0Z0y0z1y0z0Z1Z1
5.695080251128298,true,-,z1Z1y0y0Z0Z0Z0z0y0y0Z0
7.5372628430104225,true,-,Y0Z1y0Y0Y1z0y1y1Z1Z0y1
5.6347557843728,true,-,z0Z0z0Y1Y0z0z0Y0Y0Z1z0
7.035667139417352,true,-,z1Z1y1z0Z0y0z1z0Z1y1y0
6.597170286247059,true,-,z0Z0Y0y0Y0Z1Y0Y1Z1z0
7.093376397352391,true,-,Y1y0Z0y1Y1Z0Z1z0Z1y0
8.103710392795058,true,-,Y1Z1Z0y1Z1z1Y0Y1Y1Y0Z0
6.114149347598587,true,-,Z1y1Y1Y0y1z0Y1Z0Y0Z1
9.764018365187452,true,-,z1z0Z0Z1Z1Y0Z1Z1Z1Z0z0
6.95005849336334,true,-,Y1Y1y0Y1Y0z1z0z0Z1Y0
6.339396428169903,true,-,Y0z0z0z1Y1Y1z0y0Z1Z0y1
5.401431046040345,true,-,z0Y1y1Y1z0y1z0y1Z1Y0
5.181414974496305,true,-,Z1y1Y1z1y1z0Z1Y0Z0y1
0.0,false,-,Z1Z1z0y1y1y1y1Y1z1z1
9.333382536788255,true,-,z1Y0Z1z1Z1z1Z1Z0Y0Y0y0
7.138811601139781,true,-,z1Y0z0Z1Y1y0z1z0y1z0y0
0.0,false,-,Y0y0z0Z1y1z1Z1Z1z1y0
6.087003396445115,true,-,y0Z0z0z1Z0Y0z0Y0z0Y0z1
6.1883816378707515,true,-,z0y1y0Z0Y1Y1z0y0Y0Y0Z1
6.188149044762764,true,-,Y1Z0Z1Z1Y1Z1Y0y0y0z0y0
8.96108121062537,true,-,z1Z1Z1z0z0z1y0z0z1Y1Z1
6.728885538402198,true,-,Z0y0y1y1z1Z1Z1Y1z0Y0
7.403699869696594,true,-,z1z1z1y0z1y1z0Y0z0Y0
8.380891363308379,true,-,z0y0Y1z1Z0Y1Z1y1Z1z1y0
4.579918149131239,true,-,Y1y0Y0z0Y1y1Y1z1z0Z1
4.466277346388,true,-,z1Y1z0z0Y0z0Y1z1y1y0
6.282984376202195,true,-,Z0z0Z0y1Z0Z0Z0y0y0z1
0.0,false,-,Z0Y0z0y1Y0y0z0z0Y1Y0
7.272672497365127,true,-,z0z0y0z1y0y0Z1z0y1Z0
6.310310745172057,true,-,Y1z0Z0z0Z0z0z1y0Y1Z1Y1
5.471496967859923,true,-,z0z0y1z1Y1Y1y0Y0z1y1
0.0,false,-,Y0Y0z1y0Y0Y0Z1y0y0y0
7.6153650082705076,true,-,y0Z0z1Y1Z1z1z1Z0Z1z1Y1
5.424338358062334,true,-,Z1Y1Z0y1y1Z1y0y1y1z0
8.156418577317602,true,-,y0y1Z1y0Y1Y0z1z1z1z0Y1
2.7376665145799133,true,-,Z1Y0Y0y0y0y0y0y0z0y0
6.4204245355538365,true,-,y0y0z1Z0y1Y0Y0y0z1Y0
0.0,false,-,y0z1Z1y1z1Y0y0y0Y1Z1y1
6.3579315596532195,true,-,y0Y0Y0y1Z1Z0y0Y0y0Y1
5.274819726168226,true,-,z0Y1Y1z1z0z0z1y1y0z0Y1
8.351023928745512,true,-,Y1Z1Z1y0Z0Z1z0Y1Z0y0z1
8.371010043863985,true,-,y0Z1z0Z1z1Y0Y0Y1z1Y0
7.95950118870567,true,-,Z1y1Y1z0y0Z1y0z1Z0Z1y1
0.0,false,-,y1Y1y1z1z0y1Y1z0Z0Y1
4.920409968358288,true,-,y1Z0z0y0z0y0Z0z0Y1z1Z1
10.224139344198898,true,-,z1z1z0Y0Y1z1Z0Z1z0Y0y1
7.245334000423736,true,-,Y1y0Z0y0Z0Y0y1Z0y0z1y0
0.0,false,-,z0y0Z0Y1Y0z0y0Y0Y1Z0z0
7.027632998443652,true,-,z0Z1Z1y0Y0z1y1Y0z0Z1
0.0,false,-,Y1z0Z0y1y1Z0Z0y1Y1Z0
5.416951512585528,true,-,Y0Y1Y0Z1Y1Y1Z1Y1Y0y1Z0
7.918008412151219,true,-,y0Z1Y1Y1Y1Z1z0z1Z1y0Y0
5.74550174042046,true,-,Z0Y0Y1y1Z0Z0Z1y1Y0y1
8.724944674649665,true,-,y0y1y1y0Y1z0Z0z1y0Z1z1
6.4084180120832155,true,-,Y0Y0Z0z0z1y1z1Z0z1Y0Y0
0.0,false,-,z0Y0y0Y0y0z0y0Z0y1y0Y1
9.349346133398006,true,-,z1Z0y1Z1Z1Z1Z0z1Y0z0Y1
0.0,false,-,Y1Z0Z1Z1z1Z1Z1Z1y1z1Y1
