Dilatation Without Zero

"dilitation","comma"
7.8770,","
5.6328,","
8.2749,","
7.9830,","
5.0472,","
10.5159,","
8.6792,","
7.2737,","
6.2880,","
6.0161,","
8.9747,","
10.5700,","
4.8812,","
7.9901,","
6.8393,","
10.2124,","
7.7787,","
9.0462,","
11.0179,","
7.7930,","
10.0362,","
8.7258,","
7.9362,","
6.5999,","
7.3713,","
11.2009,","
6.5445,","
8.4031,","
8.6438,","
8.6168,","
6.2780,","
7.3350,","
6.3235,","
8.3489,","
5.7864,","
9.3381,","
6.2635,","
9.5495,","
9.2042,","
9.4071,","
7.6328,","
7.4276,","
8.6995,","
8.2744,","
7.9451,","
6.3578,","
8.0680,","
9.6892,","
9.7727,","
6.4175,","
7.9160,","
7.2471,","
8.5140,","
7.5387,","
8.4657,","
5.9840,","
9.3311,","
7.7555,","
9.7829,","
9.7260,","
8.2890,","
5.6546,","
7.2629,","
6.8396,","
6.7305,","
7.9688,","
8.3245,","
5.6704,","
5.8048,","
9.1775,","
7.7689,","
7.3777,","
7.0459,","
7.5182,","
6.8244,","
9.0937,","
5.9001,","
7.3267,","
5.9408,","
8.3261,","
8.6169,","
8.4140,","
7.7446,","
8.0382,","
7.9147,","
7.6004,","
9.6131,","
9.3333,","
7.5260,","
7.9801,","
8.1793,","
10.3404,","
7.6161,","
11.1725,","
9.5963,","
6.4599,","
5.5821,","
8.7565,","
7.4616,","
6.8096,","
8.3397,","
7.3598,","
9.4304,","
10.7083,","
5.9301,","
6.8013,","
4.1070,","
9.5084,","
5.9217,","
7.1234,","
7.8653,","
6.8780,","
9.1473,","
9.5296,","
8.7365,","
7.2969,","
7.0743,","
8.7087,","
8.1061,","
8.3422,","
6.2351,","
9.1033,","
6.0694,","
5.8898,","
8.3240,","
7.8913,","
6.4469,","
10.6622,","
10.4046,","
6.6159,","
11.1129,","
8.3774,","
8.2756,","
6.4173,","
7.0303,","
10.6624,","
7.9860,","
6.8557,","
8.0061,","
9.6254,","
7.5786,","
9.9315,","
7.0328,","
9.9489,","
8.1335,","
7.1182,","
7.8363,","
7.6776,","
8.6564,","
7.0504,","
8.5066,","
6.6257,","
7.1080,","
4.7443,","
10.9741,","
7.6286,","
9.2658,","
6.8371,","
6.7698,","
5.0188,","
4.9112,","
11.5135,","
7.8612,","
6.4069,","
9.3024,","
8.2697,","
6.6043,","
8.7614,","
7.7496,","
10.4281,","
8.7461,","
9.1693,","
8.0628,","
6.1450,","
7.7399,","
8.7524,","
6.2513,","
8.8324,","
9.6969,","
8.5902,","
10.1146,","
6.7478,","
8.1739,","
6.9830,","
7.7465,","

Dilatation With Zero

"dilitation","comma"
7.8770,","
5.6328,","
8.2749,","
7.9830,","
5.0472,","
10.5159,","
8.6792,","
7.2737,","
6.2880,","
6.0161,","
8.9747,","
0.0000,","
10.5700,","
4.8812,","
7.9901,","
6.8393,","
10.2124,","
7.7787,","
9.0462,","
11.0179,","
7.7930,","
10.0362,","
8.7258,","
7.9362,","
6.5999,","
7.3713,","
11.2009,","
6.5445,","
8.4031,","
8.6438,","
8.6168,","
6.2780,","
7.3350,","
6.3235,","
8.3489,","
5.7864,","
9.3381,","
6.2635,","
9.5495,","
9.2042,","
9.4071,","
7.6328,","
7.4276,","
0.0000,","
8.6995,","
8.2744,","
7.9451,","
6.3578,","
8.0680,","
9.6892,","
0.0000,","
9.7727,","
6.4175,","
7.9160,","
7.2471,","
8.5140,","
7.5387,","
8.4657,","
5.9840,","
9.3311,","
7.7555,","
9.7829,","
9.7260,","
8.2890,","
5.6546,","
7.2629,","
6.8396,","
6.7305,","
7.9688,","
8.3245,","
5.6704,","
5.8048,","
0.0000,","
9.1775,","
7.7689,","
7.3777,","
7.0459,","
7.5182,","
6.8244,","
0.0000,","
9.0937,","
5.9001,","
7.3267,","
5.9408,","
8.3261,","
8.6169,","
8.4140,","
7.7446,","
8.0382,","
0.0000,","
7.9147,","
7.6004,","
0.0000,","
9.6131,","
9.3333,","
7.5260,","
7.9801,","
8.1793,","
10.3404,","
7.6161,","
11.1725,","
